Trait	PC	Delta	Var.Delta	z	P	First_Author	Trait_ID_2.0	Trait_long	Trait_class	Collection	Population	FDR.PC	stars	Label
AGRP_Folkersen_33067605_1	PC1	-0.00710361152155988	1.02652729453771e-05	-2.21714426285277	0.0266132349314926	Folkersen	AGRP	Agouti-related protein (AGRP) levels	BMK		European	0.3604192387865	""	Agouti-related protein (AGRP) levels (European) / Folkersen
AGRP_Folkersen_33067605_1	PC2	0.00160079286876144	1.14526169339882e-05	0.473023561395383	0.63619636961206	Folkersen	AGRP	Agouti-related protein (AGRP) levels	BMK		European	0.998957244616927	""	Agouti-related protein (AGRP) levels (European) / Folkersen
AGRP_Folkersen_33067605_1	PC3	0.00295235909960675	1.18168918402427e-05	0.858850454836052	0.390423026939917	Folkersen	AGRP	Agouti-related protein (AGRP) levels	BMK		European	0.954590999420672	""	Agouti-related protein (AGRP) levels (European) / Folkersen
AGRP_Folkersen_33067605_1	PC4	0.0133444810987647	1.20722640859646e-05	3.84067295507841	0.000122697489702467	Folkersen	AGRP	Agouti-related protein (AGRP) levels	BMK		European	0.00484655084324745	●	Agouti-related protein (AGRP) levels (European) / Folkersen
AGRP_Folkersen_33067605_1	PC5	6.27424234534695e-05	1.01617808035407e-05	0.0196823240688187	0.984296791399137	Folkersen	AGRP	Agouti-related protein (AGRP) levels	BMK		European	0.999712305508806	""	Agouti-related protein (AGRP) levels (European) / Folkersen
AGRP_Folkersen_33067605_1	PC6	-0.00229766553457626	9.55660239079259e-06	-0.743250228107407	0.457330198839618	Folkersen	AGRP	Agouti-related protein (AGRP) levels	BMK		European	0.867098056999916	""	Agouti-related protein (AGRP) levels (European) / Folkersen
AGRP_Folkersen_33067605_1	PC7	0.00348627766906105	1.00168161554183e-05	1.10153201136773	0.270665180257401	Folkersen	AGRP	Agouti-related protein (AGRP) levels	BMK		European	0.980363710279911	""	Agouti-related protein (AGRP) levels (European) / Folkersen
AGRP_Folkersen_33067605_1	PC8	0.00597797071711282	1.03429981653404e-05	1.85879099352607	0.0630567695771785	Folkersen	AGRP	Agouti-related protein (AGRP) levels	BMK		European	0.253295837115107	""	Agouti-related protein (AGRP) levels (European) / Folkersen
AGRP_Folkersen_33067605_1	PC9	-0.00621963573723717	8.80797450296349e-06	-2.09568944423435	0.0361097488543904	Folkersen	AGRP	Agouti-related protein (AGRP) levels	BMK		European	0.380789105192781	""	Agouti-related protein (AGRP) levels (European) / Folkersen
AGRP_Folkersen_33067605_1	PC10	-0.00551148993421965	1.13120754160506e-05	-1.63869403433479	0.101276997109804	Folkersen	AGRP	Agouti-related protein (AGRP) levels	BMK		European	0.600066207875589	""	Agouti-related protein (AGRP) levels (European) / Folkersen
AGRP_Folkersen_33067605_1	PC11	-0.00526040131004771	1.2027813095047e-05	-1.51679029718455	0.129319637553046	Folkersen	AGRP	Agouti-related protein (AGRP) levels	BMK		European	0.751626344403998	""	Agouti-related protein (AGRP) levels (European) / Folkersen
AGRP_Folkersen_33067605_1	PC12	0.000191963505410634	9.56344191888851e-06	0.0620742612354722	0.950503694018692	Folkersen	AGRP	Agouti-related protein (AGRP) levels	BMK		European	0.999883851268471	""	Agouti-related protein (AGRP) levels (European) / Folkersen
AGRP_Folkersen_33067605_1	PC13	0.00667650901117395	9.60301621211455e-06	2.15449558502066	0.0312013278316184	Folkersen	AGRP	Agouti-related protein (AGRP) levels	BMK		European	0.308113112337232	""	Agouti-related protein (AGRP) levels (European) / Folkersen
AGRP_Folkersen_33067605_1	PC14	0.00445395117073814	1.0420604661393e-05	1.37974551670438	0.16766501312408	Folkersen	AGRP	Agouti-related protein (AGRP) levels	BMK		European	0.903763668540319	""	Agouti-related protein (AGRP) levels (European) / Folkersen
AITD_Saevarsdottir_32581359_1	PC1	0.0123362164043207	1.04488475762297e-05	3.8163463532552	0.000135442349607331	Saevarsdottir	AITD	Autoimmune Thyroid disease	IMD		European (Iceland + UK)	0.0539060551437177	""	Autoimmune Thyroid disease (European (Iceland +... / Saevarsdottir
AITD_Saevarsdottir_32581359_1	PC2	-0.0105447265508013	1.11981683279644e-05	-3.15109739193214	0.00162658242127264	Saevarsdottir	AITD	Autoimmune Thyroid disease	IMD		European (Iceland + UK)	0.0239770297654263	○	Autoimmune Thyroid disease (European (Iceland +... / Saevarsdottir
AITD_Saevarsdottir_32581359_1	PC3	-0.00426497661996356	1.40856127782921e-05	-1.13639360780698	0.255791869832829	Saevarsdottir	AITD	Autoimmune Thyroid disease	IMD		European (Iceland + UK)	0.99580157163396	""	Autoimmune Thyroid disease (European (Iceland +... / Saevarsdottir
AITD_Saevarsdottir_32581359_1	PC4	0.0018933841192179	1.26144323839402e-05	0.533095324473747	0.593967595446643	Saevarsdottir	AITD	Autoimmune Thyroid disease	IMD		European (Iceland + UK)	0.979137883214786	""	Autoimmune Thyroid disease (European (Iceland +... / Saevarsdottir
AITD_Saevarsdottir_32581359_1	PC5	-0.0170008676826726	1.02865326595731e-05	-5.30074097532165	1.15333624176278e-07	Saevarsdottir	AITD	Autoimmune Thyroid disease	IMD		European (Iceland + UK)	9.56307967128305e-07	●	Autoimmune Thyroid disease (European (Iceland +... / Saevarsdottir
AITD_Saevarsdottir_32581359_1	PC6	-0.0170816760131235	9.5395973397001e-06	-5.53051352166172	3.19294683448664e-08	Saevarsdottir	AITD	Autoimmune Thyroid disease	IMD		European (Iceland + UK)	4.23597613375228e-06	●	Autoimmune Thyroid disease (European (Iceland +... / Saevarsdottir
AITD_Saevarsdottir_32581359_1	PC7	0.0060388775368115	9.40126461456052e-06	1.96953219395842	0.0488920093881952	Saevarsdottir	AITD	Autoimmune Thyroid disease	IMD		European (Iceland + UK)	0.720704434685248	""	Autoimmune Thyroid disease (European (Iceland +... / Saevarsdottir
AITD_Saevarsdottir_32581359_1	PC8	0.0294355293247921	1.08365223097005e-05	8.9418398067885	3.82744143562938e-19	Saevarsdottir	AITD	Autoimmune Thyroid disease	IMD		European (Iceland + UK)	1.52332169138049e-16	●	Autoimmune Thyroid disease (European (Iceland +... / Saevarsdottir
AITD_Saevarsdottir_32581359_1	PC9	-0.0118185206102857	8.64523979171387e-06	-4.01952371230615	5.8315912587455e-05	Saevarsdottir	AITD	Autoimmune Thyroid disease	IMD		European (Iceland + UK)	0.0021099757463461	●	Autoimmune Thyroid disease (European (Iceland +... / Saevarsdottir
AITD_Saevarsdottir_32581359_1	PC10	0.00391240017413658	1.13826267106608e-05	1.15963689067006	0.246196674579651	Saevarsdottir	AITD	Autoimmune Thyroid disease	IMD		European (Iceland + UK)	0.597477295626226	""	Autoimmune Thyroid disease (European (Iceland +... / Saevarsdottir
AITD_Saevarsdottir_32581359_1	PC11	0.010122400109427	1.05035021166838e-05	3.12331966841575	0.00178823409825979	Saevarsdottir	AITD	Autoimmune Thyroid disease	IMD		European (Iceland + UK)	0.0409741334788382	○	Autoimmune Thyroid disease (European (Iceland +... / Saevarsdottir
AITD_Saevarsdottir_32581359_1	PC12	-0.00998539786469436	9.27406172338527e-06	-3.27891669383878	0.00104206392900897	Saevarsdottir	AITD	Autoimmune Thyroid disease	IMD		European (Iceland + UK)	0.41474144374557	""	Autoimmune Thyroid disease (European (Iceland +... / Saevarsdottir
AITD_Saevarsdottir_32581359_1	PC13	0.000928715526504414	8.56095865867164e-06	0.317410658701629	0.750932020582755	Saevarsdottir	AITD	Autoimmune Thyroid disease	IMD		European (Iceland + UK)	0.962860180726924	""	Autoimmune Thyroid disease (European (Iceland +... / Saevarsdottir
AITD_Saevarsdottir_32581359_1	PC14	-0.000849803910746275	1.27242759396319e-05	-0.23823314607567	0.811700270219953	Saevarsdottir	AITD	Autoimmune Thyroid disease	IMD		European (Iceland + UK)	0.997091824290614	""	Autoimmune Thyroid disease (European (Iceland +... / Saevarsdottir
ALAAT_SinnottArmstrong_33462484_1	PC1	0.00388845927388698	7.07740579784538e-07	4.62211243777231	3.79852023216252e-06	SinnottArmstrong	ALAAT	Alanine aminotransferase	BMK	UKBB	Trans-ethnic	0.000225062323755629	●	Alanine aminotransferase (Trans-ethnic) / SinnottArmstrong
