Trait	nSNP	overall_p	mscomp	File_ID	First_Author	Year	Reference	Trait_ID_2.0	Trait_long	Trait_class	N0	N1	N	SNP_number	Chip	Population	Collection	FDR.overall
AGRP_Folkersen_33067605_1	1661	2.82921816333248e-05	PC4 (1e-04)	AGRP_Folkersen_33067605_1-hg38.tsv.gz	Folkersen	2020	33067605	AGRP	Agouti-related protein (AGRP) levels	BMK	21758	0	21758		Multiple (see paper)	European		0.00021629829184187
AITD_Saevarsdottir_32581359_1	1612	1.98893599721145e-35	PC8 (4e-19)	AITD_Saevarsdottir_32581359_1-hg38.tsv.gz	Saevarsdottir	2020	32581359	AITD	Autoimmune Thyroid disease	IMD	725172	30234	755406			European (Iceland + UK)		4.65645015817739e-34
ALAAT_SinnottArmstrong_33462484_1	1640	1.01699030474929e-50	PC10 (1e-15)	ALAAT_SinnottArmstrong_33462484_1-hg38.tsv.gz	SinnottArmstrong	2021	33462484	ALAAT	Alanine aminotransferase	BMK	363054	0	363054		Multiple (UKBB data & others)	Trans-ethnic	UKBB	2.53712318132191e-49
ALB_SinnottArmstrong_33462484_1	1640	2.13709100176538e-54	PC5 (5e-18)	ALB_SinnottArmstrong_33462484_1-hg38.tsv.gz	SinnottArmstrong	2021	33462484	ALB	Albumin	BMK	331979	0	331979		Multiple (UKBB data & others)	Trans-ethnic	UKBB	5.7122640861085e-53
ALCPHOS_SinnottArmstrong_33462484_1	1640	5.32919387453114e-87	PC8 (8e-63)	ALCPHOS_SinnottArmstrong_33462484_1-hg38.tsv.gz	SinnottArmstrong	2021	33462484	ALCPHOS	Alkaline phosphatase	BMK	363228	0	363228		Multiple (UKBB data & others)	Trans-ethnic	UKBB	2.80670877391973e-85
ALLERG_ASTHMA_EXMORE_FinnGen_FinnGenR7_1	1655	7.33462260655924e-32	PC5 (3e-29)	ALLERG_ASTHMA_EXMORE_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	ALLERG_ASTHMA_EXMORE	Allergic asthma (mode) (more controls excluded) (FinnGen)	IMD	175182	10877	186059			European (Finnish)	FinnGen	1.26920860756982e-30
ALLERG_ASTHMA_FinnGen_FinnGenR7_1	1655	4.67021550898794e-32	PC5 (2e-29)	ALLERG_ASTHMA_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	ALLERG_ASTHMA	Allergic asthma (FinnGen)	IMD	180942	10877	191819			European (Finnish)	FinnGen	8.44884442080545e-31
ALLERG_RHINITIS_FinnGen_FinnGenR7_1	1655	1.24059132974476e-15	PC5 (9e-15)	ALLERG_RHINITIS_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	ALLERG_RHINITIS	Allergic rhinitis (FinnGen)	IMD	298829	8430	307259			European (Finnish)	FinnGen	1.29935618220635e-14
APOA_SinnottArmstrong_33462484_1	1640	3.54135490366675e-27	PC13 (5e-09)	APOA_SinnottArmstrong_33462484_1-hg38.tsv.gz	SinnottArmstrong	2021	33462484	APOA	Apolipoprotein A	BMK	330515	0	330515		Multiple (UKBB data & others)	Trans-ethnic	UKBB	6.21704527532607e-26
APOB_SinnottArmstrong_33462484_1	1640	4.7760812439453e-62	PC1 (3e-29)	APOB_SinnottArmstrong_33462484_1-hg38.tsv.gz	SinnottArmstrong	2021	33462484	APOB	Apolipoprotein B	BMK	361372	0	361372		Multiple (UKBB data & others)	Trans-ethnic	UKBB	1.74143269971544e-60
